a,G,F_imp,u_imp,l,F,u,fracture_dissipation
0.0007158203125000001,3.5988017439989944e-14,2.779444216665224e-07,4.4748915208045805e-14,273906867.34469247,76.13088583460942,1.2257035181709093e-05,0.00024521484375000037
0.00071728515625,3.6467522243631366e-14,2.7827970318226334e-07,4.514199567399279e-14,272100132.8474753,75.71994420464985,1.2283143019893594e-05,0.0002491699218750001
0.00071875,3.692360503686137e-14,2.801167126687134e-07,4.55330810485405e-14,270414411.78700703,75.74759608802019,1.2312801328591197e-05,0.00025312500000000004
0.00072021484375,3.740769785755322e-14,2.771562507059293e-07,4.591181273096719e-14,268658998.3561367,74.46052070279727,1.2334621621016169e-05,0.0002570800781250002
0.0007216796875000001,3.791828715014966e-14,2.7978901903503676e-07,4.6334710610213995e-14,266844051.86491698,74.6600355066196,1.2364141921217863e-05,0.0002610351562500002
0.00072314453125,3.842545179324876e-14,2.783268691168943e-07,4.674054848974966e-14,265077209.9661173,73.77810992411104,1.2389854185948857e-05,0.00026499023437500014
0.000724609375,3.895914725708325e-14,2.7513683356421327e-07,4.7154442847743826e-14,263255322.71391264,72.43123591043103,1.241365806927755e-05,0.0002689453125000001
0.00072607421875,3.94853243753181e-14,2.7405544964753844e-07,4.75800344080257e-14,261495384.02911067,71.66423505085366,1.244195936964498e-05,0.00027290039062500003
0.0007275390625000001,4.0043955055914215e-14,2.8049192645705955e-07,4.800693761051608e-14,259664990.44327462,72.83393340288805,1.246572099584554e-05,0.00027685546875000025
0.00072900390625,4.0578206861191597e-14,2.75480152892163e-07,4.844142016467012e-14,257949954.84840298,71.0600930001646,1.2495462144269176e-05,0.0002808105468750002
0.00073046875,4.114884079249087e-14,2.7433451797446897e-07,4.884545409085858e-14,256155142.7456773,70.27219761181667,1.2512014265121307e-05,0.0002847656249999999
0.00073193359375,4.173895197398291e-14,2.751413876250812e-07,4.930997217789949e-14,254337918.0943464,69.97888771015272,1.2541395665017101e-05,0.0002887207031250001
0.0007333984375,4.233258497297813e-14,2.7500464974497664e-07,4.976503742088023e-14,252548322.2295349,69.45196289841473,1.2568076706333323e-05,0.0002926757812500001
0.0007348632812500001,4.2955016372601354e-14,2.755029557906685e-07,5.023211866077012e-14,250711893.91620356,69.07186782579059,1.2593789604865148e-05,0.00029663085937500024
0.000736328125,4.360682310745716e-14,2.8343942751610696e-07,5.0684608779875485e-14,248831099.18715763,70.52854430181159,1.2611906914567477e-05,0.00030058593749999996
0.0007377929687500001,4.424611902423672e-14,2.7386477832489776e-07,5.116109414689381e-14,247026923.94588277,67.65197376672056,1.2638167712812886e-05,0.0003045410156250001
0.0007392578125,4.4898139663984594e-14,2.815416765623541e-07,5.1633303510766265e-14,245226674.53166157,69.04152908545474,1.2661863315029177e-05,0.0003084960937500001
0.0007407226562500001,4.5627717645317545e-14,2.795892200109477e-07,5.211425153451255e-14,243258211.5148248,68.012373618688,1.2677219622719237e-05,0.0003124511718750003
0.0007421875,4.6277669105683124e-14,2.790983827552867e-07,5.259801922790298e-14,241543938.73657766,67.41452266572087,1.2704732734049931e-05,0.00031640625
0.0007436523437500001,4.6995758209126094e-14,2.737319732252523e-07,5.31092509989588e-14,239691455.00627372,65.61121494409907,1.2729833646233831e-05,0.00032036132812500017
0.0007451171875,4.7767693879815804e-14,2.745446391187662e-07,5.361004710354342e-14,237746835.2568197,65.27211908721233,1.2745619036836481e-05,0.0003243164062499999
0.0007465820312500001,4.8517015196155287e-14,2.8098491628703613e-07,5.41329438310606e-14,235903750.00745437,66.28539544764246,1.277016444869009e-05,0.0003282714843750001
0.000748046875,4.9327123382765664e-14,2.809298173859195e-07,5.4652750747018066e-14,233958585.71940807,65.7259427620213,1.278648027044767e-05,0.00033222656249999984
0.0007495117187500001,5.0133472886451856e-14,2.7570900501970984e-07,5.516796692340518e-14,232069457.40961856,63.98363919786986,1.2802800150306424e-05,0.000336181640625
0.0007509765625,5.094076549168175e-14,2.7786876042889644e-07,5.570491803618206e-14,230223233.1451642,63.9718444159796,1.2824566332376204e-05,0.00034013671875000016
0.0007524414062500001,5.180139563582682e-14,2.7376123701816486e-07,5.6262510622763264e-14,228302754.70998788,62.50044454406095,1.2844886162076808e-05,0.0003440917968750004
0.00075390625,5.281181353956978e-14,2.7652733401384144e-07,5.684117111003193e-14,226108214.97735283,62.52510188631591,1.2852255736911597e-05,0.0003480468750000001
0.0007553710937500001,5.368663347666893e-14,2.747527563521234e-07,5.7394300105395e-14,224258439.7643303,61.61562446047638,1.2871156193001622e-05,0.00035200195312500026
0.0007568359375,5.462841329941732e-14,2.736445674867293e-07,5.79702916593361e-14,222316956.75037396,60.83582747492198,1.2887778823635189e-05,0.00035595703125
0.0007583007812500001,5.560529451175824e-14,2.778261570014957e-07,5.852283111988374e-14,220355456.66556737,61.220509699704195,1.2895825176783858e-05,0.0003599121093750002
