u,F,fracture_dissipation,l,a,Nl_Ntot
1.1028982434673642e-05,97.27533517223102,6.244177063347944e-05,351220000.0,0.0006558210327830502,0.06174334140435835
1.1026387774008835e-05,97.06394904869109,6.347021315155899e-05,350440000.0,0.0006562019374193759,0.06295399515738499
1.1028251955560933e-05,96.89079951852031,6.450182787168779e-05,349800000.0,0.0006565840169453495,0.06416464891041163
1.1057800238423533e-05,96.92427680702092,6.573348477435781e-05,349910000.0,0.0006570401861685606,0.06537530266343826
1.1076502590507752e-05,96.82360976559443,6.717388972469629e-05,349520000.0,0.0006575736694835008,0.06658595641646489
1.1087324706760077e-05,96.6733822217169,6.850462157214099e-05,348960000.0,0.0006580665331307026,0.06779661016949153
1.1098915344155345e-05,96.55674936420655,6.970047671435942e-05,348530000.0,0.0006585094424426353,0.06900726392251816
1.1105312826234509e-05,96.37909476756008,7.098648360275094e-05,347870000.0,0.0006589857412901877,0.07021791767554479
1.1103397667090767e-05,96.14901326854793,7.216574480302818e-05,347020000.0,0.0006594225046976978,0.07142857142857142
1.1129360302036832e-05,96.1468108940396,7.341123669201521e-05,347000000.0,0.0006598837979899152,0.07263922518159806
1.1152307834001148e-05,96.09680328787562,7.477503783082451e-05,346800000.0,0.0006603889095228076,0.07384987893462469
1.1144967371543224e-05,95.79342193857214,7.609149987448572e-05,345690000.0,0.0006608764880574969,0.07506053268765134
1.1142293295614522e-05,95.54621115440308,7.732497052952759e-05,344780000.0,0.0006613333290408457,0.07627118644067797
1.1161840646483607e-05,95.45823705441526,7.87293652906933e-05,344440000.0,0.0006618534752486849,0.0774818401937046
1.1163414768887101e-05,95.26446985095605,7.986224056919933e-05,343730000.0,0.0006622730586851686,0.07869249394673124
1.1193674565021579e-05,95.23828377026175,8.144010004752222e-05,343610000.0,0.0006628574510845474,0.07990314769975787
1.1209523885703138e-05,95.14265174869351,8.272233738856506e-05,343250000.0,0.0006633323538034522,0.0811138014527845
1.1209742729821087e-05,94.91235019271639,8.401746210109451e-05,342400000.0,0.0006638120296229076,0.08232445520581114
1.1206539737017688e-05,94.64809435319322,8.532107612352258e-05,341430000.0,0.0006642948496312142,0.08353510895883777
1.121011919511493e-05,94.44604379102951,8.65955129388556e-05,340690000.0,0.0006647668632665227,0.0847457627118644
1.1214604045755383e-05,94.26778313433475,8.778595895207709e-05,340030000.0,0.0006652077691973455,0.08595641646489104
1.12065312725736e-05,94.01099309305229,8.883921995393962e-05,339090000.0,0.0006655978658647021,0.08716707021791767
1.1231078703452345e-05,93.98243898753232,9.013301292941978e-05,338970000.0,0.0006660770484482132,0.08837772397094432
1.1241820882120446e-05,93.86483117771294,9.127537838953526e-05,338540000.0,0.0006665001467667745,0.08958837772397095
1.1255160703474458e-05,93.76557173632234,9.243150502266629e-05,338170000.0,0.0006669283418160823,0.09079903147699758
1.1311949143266658e-05,93.9120446609888,9.422616893250591e-05,338670000.0,0.0006675930321530599,0.09200968523002422
1.1312515620766359e-05,93.64605231069613,9.571209382630052e-05,337700000.0,0.0006681433747063171,0.09322033898305085
1.1297667972853366e-05,93.30308065934733,9.693626516448828e-05,336450000.0,0.0006685967714982386,0.09443099273607748
1.129104264249988e-05,93.03126063178205,9.814106183911275e-05,335450000.0,0.0006690429924888403,0.09564164648910412
1.1292727914463107e-05,92.85557154442,9.91999831111725e-05,334810000.0,0.0006694351855525661,0.09685230024213075
1.1328336650185655e-05,92.86182620210515,0.00010078971701114004,334810000.0,0.0006700239758858874,0.09806295399515738
1.1347801068201444e-05,92.79039490570419,0.00010206128354696897,334540000.0,0.0006704949264547129,0.09927360774818401
1.1346272381253541e-05,92.49663018069164,0.00010363051529344625,333460000.0,0.0006710761233978526,0.10048426150121065
1.1341805018585244e-05,92.22159648716486,0.00010497519219394036,332460000.0,0.0006715741518795171,0.1016949152542373
1.1339229585242652e-05,91.99943462650697,0.0001061121228830999,331640000.0,0.0006719952373199466,0.10290556900726393
1.1344867128512938e-05,91.83776167556522,0.00010727464667914211,331050000.0,0.0006724258016888511,0.10411622276029056
1.1359547765097852e-05,91.72342339281812,0.0001085879275034185,330620000.0,0.0006729122019941387,0.1053268765133172
1.1365527646980598e-05,91.53565559919147,0.00010990800845364102,329930000.0,0.0006734011208645915,0.10653753026634383
1.1394822693953065e-05,91.54182869096957,0.00011119277349949997,329930000.0,0.0006738769597704652,0.10774818401937046
1.1427591969350232e-05,91.55217848822775,0.0001126029404970641,329960000.0,0.000674399243843637,0.1089588377723971
1.13986949988425e-05,91.11172982901795,0.00011377110872920216,328360000.0,0.0006748318987444289,0.11016949152542373
1.1397297835076905e-05,90.90014824654406,0.00011489854414939504,327580000.0,0.0006752494674185744,0.11138014527845036
1.142925308815418e-05,90.90248032990273,0.00011633238523186695,327570000.0,0.0006757805196713418,0.11259079903147699
1.1440738710322139e-05,90.75313787396793,0.00011770557430323181,327020000.0,0.0006762891082162918,0.11380145278450363
1.1470183088148431e-05,90.735490433895,0.00011913283068340941,326940000.0,0.0006768177216904316,0.11501210653753027
1.1472131557334397e-05,90.51472729934162,0.00012048603263714197,326130000.0,0.0006773189075992215,0.1162227602905569
1.1497238930922976e-05,90.43210115935496,0.00012206701214934279,325820000.0,0.0006779044555667032,0.11743341404358354
1.1516780844842227e-05,90.30877102003996,0.00012362472528517455,325360000.0,0.000678481386357752,0.11864406779661017
1.1505785972036087e-05,89.97189275808712,0.00012502776108923986,324130000.0,0.0006790010292481466,0.1198547215496368
1.1497404339229328e-05,89.71905698517561,0.00012607804687229818,323210000.0,0.0006793900239826126,0.12106537530266344
1.1529368702594422e-05,89.73985083117569,0.00012737423515715252,323270000.0,0.0006798700937177438,0.12227602905569007
1.1553316831785465e-05,89.64940374994822,0.0001289787412388197,322930000.0,0.0006804643552294724,0.1234866828087167
1.1551055306014705e-05,89.35639699384107,0.00013056848665702603,321850000.0,0.0006810531498288081,0.12469733656174334
1.1538058945495298e-05,89.03467418310909,0.0001318303357759023,320680000.0,0.0006815205013543179,0.12590799031476999
1.1531045459419749e-05,88.79279289023071,0.0001329099255316455,319800000.0,0.0006819203494120004,0.1271186440677966
1.1535677730886383e-05,88.61782081913078,0.00013410565842741164,319160000.0,0.0006823632134474694,0.12832929782082325
1.1564451906421028e-05,88.60528823411748,0.0001354419099869868,319100000.0,0.0006828581214324973,0.12953995157384987
1.1552680013224857e-05,88.31072149170701,0.000136627482054702,318030000.0,0.0006832972221983177,0.13075060532687652
1.1572974569148808e-05,88.23886032021841,0.00013793758686240598,317750000.0,0.000683782446201171,0.13196125907990314
1.159129638471399e-05,88.13315582347377,0.0001393573032310973,317360000.0,0.0006843082670784642,0.13317191283292978
1.1593463414615376e-05,87.918288549822,0.00014068698867106933,316570000.0,0.0006848007431673426,0.1343825665859564
1.160657871828634e-05,87.78594130981347,0.00014203255009499527,316080000.0,0.0006852990992502782,0.13559322033898305
1.1601723566683972e-05,87.52740349158657,0.0001433258269639668,315130000.0,0.0006857780906832306,0.1368038740920097
1.1592344592061276e-05,87.25184839900318,0.00014450546027294277,314130000.0,0.0006862149919087772,0.13801452784503632
1.1605213825282694e-05,87.15898054315089,0.00014559577083586285,313790000.0,0.0006866188106357847,0.13922518159806296
1.162509234036805e-05,87.08797202008377,0.00014687056873702108,313520000.0,0.000687090958006584,0.14043583535108958
1.1633399591263082e-05,86.92760325435707,0.00014814724814784163,312930000.0,0.0006875638022328139,0.14164648910411623
1.1630246063061252e-05,86.69128593069792,0.00014936746867183582,312070000.0,0.0006880157357602192,0.14285714285714285
